"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"4365","11365","1208559","17147","0","First Merchants Bank National Association","Muncie","IN","3/31/2011","N","1","4096921","6092","115684","183762","0","125","10871","430104","126622","310484","572284","2766239","496477","1326401","289380","750344","318667","152240","32493","0","0","366828","0","752","87712","7466"
"4382","8814","1208595","693345","1","First Financial Bank, National Association","Terre Haute","IN","3/31/2011","N","1","2405545","56816","29503","124079","0","0","14400","40740","251689","0","597962","1550315","502666","623146","172483","399782","199569","45245","16523","4544","0","258883","13331","2612","47379","8266"
"4392","11234","1132654","23241","0","Integra Bank National Association","Evansville","IN","3/31/2011","N","1","2175584","0","101526","156474","0","0","4700","350094","-314262","0","511785","1284604","541585","176553","108966","662061","361560","88235","41347","0","0","111009","0","5666","184012","-45026"
"4534","11325","1094314","506249","1","First National Bank of St. Louis","Clayton","MO","3/31/2011","N","1","1438175","11136","248092","0","0","0","1000","65488","96429","0","177866","1076634","627696","48565","98230","98657","143196","69463","74437","5166","0","114250","963","71","25932","4964"
"4536","10511","1094314","299046","1","The Boone County National Bank of Columbia","Columbia","MO","3/31/2011","N","1","1271620","4598","124862","0","0","0","2100","17456","89945","64794","296549","724337","648685","41042","83439","183352","76015","36388","41834","2502","0","75003","0","104","11882","3959"
"4537","10195","1054514","103255","0","Landmark Bank,  National Association","Columbia","MO","3/31/2011","N","1","1552710","0","0","643","0","15000","11691","30526","74020","8054","218370","1098743","578816","72743","299160","199298","259461","30360","39838","0","0","140032","0","107","10178","4025"
"4666","10192","2107707","983457","1","Armed Forces Bank, National Association","Fort Leavenworth","KS","3/31/2011","N","1","1941723","0","0","115000","0","0","90000","237435","-23651","0","226443","970640","152870","434514","156308","404383","321329","12561","32572","0","0","29169","30","64","341859","2572"
"4767","9366","1066713","474759","0","Sunflower Bank, National Association","Salina","KS","3/31/2011","N","1","1700993","0","135301","132610","0","0","8000","18500","138125","41231","603306","875795","479552","119066","219094","278720","161880","22546","26035","0","0","162037","0","4","9460","5275"
"4789","14120","1135824","65858","0","Emprise Bank","Wichita","KS","3/31/2011","NM","1","1468731","41","0","30831","0","0","20000","68999","44919","0","538418","771139","197576","576813","164263","191674","168757","37853","43406","35","0","150642","0","73","5097","3613"
"4799","0","1064278","557858","0","Intrust Bank, National Association","Wichita","KS","3/31/2011","N","1","3751546","115","322675","5520","0","0","12000","67493","267667","4000","976873","2246844","1772578","119081","598669","252763","314019","24408","64664","3591","0","825019","316","653","13468","10647"
"4857","10579","1132672","61122","0","First United Bank & Trust","Oakland","MD","3/31/2011","NM","1","1508503","5008","42997","186106","0","0","3692","90474","44300","0","225729","981580","366650","113831","55981","352313","242025","45833","5811","0","0","39451","0","350","43237","1642"
"4865","10451","1248304","506922","0","Sandy Spring Bank","Olney","MD","3/31/2011","SM","1","3547687","1564","76508","405671","35000","0","31000","220002","149574","88858","964592","2160941","1644281","180442","160849","343541","277949","339101","119387","0","0","270925","0","7176","66904","7459"
"4879","14400","0","591825","0","Communityone Bank, National Association","Asheboro","NC","3/31/2011","N","1","1824348","0","10551","144112","2500","12500","1500","177129","-204570","0","366274","1201237","521248","44842","155878","542483","397521","123403","8226","0","0","84522","0","0","292585","-43406"
"4972","10429","1098796","133850","0","First Citizens National Bank","Dyersburg","TN","3/31/2011","N","1","1002368","11794","33801","36326","0","0","2000","34334","64142","0","308459","549386","384877","44049","27791","153920","213445","16436","28274","0","0","48539","3897","2632","4377","3083"
"4977","10972","1094640","485559","0","First Tennessee Bank, National Association","Memphis","TN","3/31/2011","N","1","24214451","527563","2125985","1001382","935027","294816","72457","1835598","1048895","0","2873356","16340124","9380590","320765","3885770","1191587","702998","2567025","372976","13198","3375","3841531","13300","125989","724553","48636"
"4988","15770","1079562","342634","1","Trustmark National Bank","Jackson","MS","3/31/2011","N","1","9400857","0","631043","154585","49814","0","13390","679384","488773","110054","2309704","5980921","1175230","2908563","1092618","1178054","831221","323744","95941","0","0","906173","158","24818","125834","24103"
"4993","0","3186576","69333","0","The Citizens National Bank of Meridian","Meridian","MS","3/31/2011","N","1","1164111","145","13544","73700","0","0","1425","81068","29548","207193","68778","700519","286440","91639","103951","266401","214305","31194","7653","0","0","69775","0","2110","14480","1167"
"4999","10349","4037349","115641","0","Cadence Bank, N.A.","Starkville","MS","3/31/2011","N","1","1612487","1313","31046","97927","0","0","1200","359244","-128341","1066","349227","750027","678969","49361","93700","178761","241125","43435","5134","0","0","61026","0","20263","0","1272"
"5146","0","1120754","2362458","1","Wells Fargo Bank South Central, National Association","Houston","TX","3/31/2011","N","1","29797000","0","6377000","3607000","0","0","2000","3165000","108000","0","0","29632000","6897000","8402000","112000","0","950000","38000","0","0","0","0","0","600000","850000","194000"
"5296","0","1199563","917742","1","Associated Bank, National Association","Green Bay","WI","3/31/2011","N","1","21277343","2015","2045892","1317168","0","0","215","2317228","547803","0","5875367","12685720","4968510","4758253","1230642","1946623","1094417","1136569","249010","0","0","2414534","36995","26989","483621","34596"
