"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"4865","10451","1248304","506922","0","Sandy Spring Bank","Olney","MD","3/31/2004","SM","1","2360715","20942","136817","360647","33565","0","30429","30429","125873","308901","628110","1222125","839472","203014","167950","268671","147028","219632","111878","102","0","115930","9","2587","802","7411"
"4886","10664","1076132","45627","0","First Charter Bank","Charlotte","NC","3/31/2004","SM","1","4229701","1723","237920","1096593","0","0","5665","130756","164885","0","1559329","2297834","697391","123398","524603","472495","721287","302680","284346","0","0","146075","0","0","11845","9322"
"4977","10972","1094640","485559","0","First Tennessee Bank, National Association","Memphis","TN","3/31/2004","N","1","26847423","564118","2244624","1495984","546775","0","72457","307118","1662573","929","2293481","18579799","4614031","1880208","2935078","1761125","7059292","4445651","1447548","69416","5970","2894552","38823","31167","47246","125045"
"4978","9645","1093728","460855","1","National Bank of Commerce","Memphis","TN","3/31/2004","N","1","22771953","151194","1485830","2083307","0","0","7000","1801413","999000","1326828","4631415","13720932","6278091","0","2382589","3407604","3788070","1701843","1442367","0","0","1596477","1094","64351","34711","88498"
"4979","9608","1094369","423355","1","Union Planters Bank, National Association","Memphis","TN","3/31/2004","N","1","31312297","3892","1892948","2085058","301036","0","18047","1996562","1239397","0","4757464","23136236","5500154","7626015","2822593","5302142","1517505","1583606","1422476","66571","0","2986877","124077","186004","194590","75407"
"4988","15770","1079562","342634","1","Trustmark National Bank","Jackson","MS","3/31/2004","N","1","7927071","9500","745550","1022720","0","0","13390","361042","304255","169708","1880927","5079350","728448","1182928","1831995","1238075","439188","278536","197470","54","0","624592","958","5443","25596","26345"
"4999","10349","1100037","115641","0","National Bank of Commerce","Starkville","MS","3/31/2004","N","1","1074171","10851","19900","122937","0","0","1200","62795","23984","35855","347361","595027","294915","41723","134873","209768","151015","18879","30606","0","0","56763","0","1936","1383","3297"
"5029","12334","1069125","42541","1","National City Bank of Michigan/Illinois","Bannockburn","IL","3/31/2004","N","1","19199782","3835973","735500","538058","0","0","198617","482904","722430","0","1432435","9208007","5723737","4487303","2302788","2685742","712825","257186","3175","0","0","2374199","3798","49413","51605","26898"
"5296","0","1199563","917742","1","Associated Bank, National Association","Green Bay","WI","3/31/2004","N","1","12938594","82130","1692854","2121102","75000","0","215","513031","415719","0","3388256","8643855","1000872","3027095","1156179","1964353","835120","1160745","625686","0","0","1232291","16436","13153","55010","49225"
"5305","10382","1205688","282141","1","F & M Bank-Wisconsin","Kaukauna","WI","3/31/2004","SM","1","1627714","0","50261","168594","0","0","1467","131326","64371","1398","482283","1057173","407468","193219","107297","318630","173111","87420","10720","0","0","177194","0","164","23084","3058"
"5452","16015","1066209","527954","1","First National Bank of Omaha","Omaha","NE","3/31/2004","N","1","6472412","405719","422060","723047","75000","0","5330","60867","379772","942562","700125","3285845","1631780","76371","859812","1138489","869248","133090","361309","7217","0","1418630","1970","11441","36986","15257"
"5510","15825","1102367","682563","0","The Frost National Bank","San Antonio","TX","3/31/2004","N","1","10045063","621750","489816","1084","150000","0","8500","343266","481718","23154","3192646","4733666","5378383","228353","1354624","397142","626584","18237","515006","0","0","1952514","3167","9879","45415","35621"
"5633","10278","1096505","673440","1","First Security Bank","Searcy","AR","3/31/2004","NM","1","1110781","16216","0","16733","0","0","600","46550","57640","0","311120","680721","383106","60595","66894","327526","146886","2660","50970","0","0","49574","0","30","5680","3419"
"5649","0","0","30810","0","Discover Bank","Greenwood","DE","3/31/2004","NM","1","15850591","400000","47800","293812","0","0","35","777567","2022500","11286","2655","14803609","697564","4163","64865","1124506","9875269","14570","713","0","0","18293","0","327811","123364","184028"
"5903","9754","1097306","121642","0","BankPlus","Belzoni","MS","3/31/2004","NM","1","1219515","27800","45841","41713","0","0","900","109100","8217","211361","7466","850918","503970","50353","72064","212004","171516","15697","58778","0","0","49090","339","2403","3479","4060"
"5915","13762","1232385","90403","0","Atlantic Bank of New York","New York","NY","3/31/2004","NM","1","3214813","26500","844580","218951","0","0","7782","67323","160074","0","1694503","1265922","841386","461867","135135","216720","224126","19565","49445","0","0","96266","31087","0","9293","7322"
"5982","11226","1071203","576710","1","Sky Bank","Salineville","OH","3/31/2004","SM","1","11889016","0","931792","821750","76000","0","1463","928207","43275","0","2474175","8606563","2343972","2264585","628643","2509825","1162614","654512","289852","163005","0","1364885","2342","25427","87996","37769"
"6214","9003","1245796","62101","1","Citizens Bank New Hampshire","Manchester","NH","3/31/2004","SB","1","7808924","60000","1132262","232496","0","0","760","446684","183872","0","2712528","4556570","1174962","2445950","652317","831495","651706","512570","18037","0","0","781949","504","188","3289","31414"
"6252","0","0","121709","0","Providian National Bank","Tilton","NH","3/31/2004","N","1","12676269","1439097","0","52487","0","0","200","1060911","2002926","0","2755439","6202137","536952","100731","62706","1829793","6549401","0","0","0","0","528","0","152569","35130","93040"
"6384","0","1069778","817824","1","PNC Bank, National Association","Pittsburgh","PA","3/31/2004","N","1","67822327","1250848","3125317","4352622","1390267","0","218919","1612568","4423481","2034","15682480","37641526","25599256","2381308","8637375","6664643","2332072","5110106","1056700","1746456","0","17349020","79595","86644","180131","227933"
"6423","9315","2611718","9807","0","Amboy National Bank","Old Bridge","NJ","3/31/2004","N","1","2255851","0","165084","295233","0","0","20000","63858","121682","425278","121072","1597696","923620","232188","112788","126153","178935","120844","765332","0","0","34244","0","63","13411","16911"
"6515","12001","1138517","156916","0","The Yardville National Bank","Yardville","NJ","3/31/2004","N","1","2567018","66920","10000","726471","0","0","2205","116168","63365","70784","691837","1584938","764351","110856","135006","445529","172889","46077","148838","0","0","147168","3318","1017","12274","4505"
